LONGTITUDE,LATITUDE
-118.7990023,35.13262103
-118.6513229,35.04041828
-118.8350944,34.92434063
-119.2905213,34.93431456
-119.789281,35.32133002
-119.6309603,35.29388646
-120.1622683,35.70809752
-119.8625708,35.76265029
-119.9666782,35.99937429
-120.28304,36.15199661
-120.2872503,36.32447717
-120.7508491,36.75546246
-120.9011528,36.70581276
-120.7708933,36.81379725
-121.0035431,36.91978816
-120.9278694,37.01634367
-121.0710685,37.05237178
-121.1827177,37.45399934
-121.8601177,37.98276555
-122.6226779,40.2387176
-122.3185048,40.673942
-122.1351369,40.62963263
-122.0129966,40.33454701
-122.1250251,40.21120121
-121.5103541,39.51084075
-121.1326968,38.53729709
-120.7921872,38.22987498
-120.8357473,37.96732467
-120.177167,37.25773754
-119.6870839,36.87747223
-119.503031,36.93735738
-119.5003409,36.76871115
-119.430996,36.78465086
-119.3667782,36.83081677
-119.3389674,36.83146228
-119.44163,36.72949499
-119.0012549,36.42089018
-119.1108985,36.28659745
-118.8896932,35.98460329
-118.9308025,35.45327011
-118.5804708,35.29258372
-118.7990023,35.13262103